filename,completefilepath,fileextension,created_date_utc,lastmodified_date,filesize,confidentiality_score
aadhaar_card_scan.pdf,C:\Users\Public\Documents\aadhaar_card_scan.pdf,pdf,01-08-2023 10:00,01-08-2023 10:00,512KB,0.85
pan_card_india.jpeg,/Users/Shared/Documents/pan_card_india.jpeg,jpeg,15-07-2023 14:30,15-07-2023 14:30,256KB,0.8
passport_personal.docx,/home/user/Documents/passport_personal.docx,docx,02-09-2023 09:15,02-09-2023 09:15,768KB,0.75
private_key.pem,C:\security\keys\private_key.pem,pem,20-06-2023 18:45,20-06-2023 18:45,4KB,0.95
public_key.pub,/Users/user/Documents/keys/public_key.pub,pub,20-06-2023 18:45,20-06-2023 18:45,2KB,0.65
bank_statement_july2023.xlsx,C:\Users\user\Downloads\bank_statement_july2023.xlsx,xlsx,05-08-2023 11:20,05-08-2023 11:20,2MB,0.88
loan_agreement_signed.pdf,/home/user/Documents/Finances/loan_agreement_signed.pdf,pdf,28-07-2023 16:00,28-07-2023 16:00,900KB,0.92
tax_returns_2022.pdf,C:\Users\user\Documents\Tax\tax_returns_2022.pdf,pdf,10-09-2023 12:30,10-09-2023 12:30,1.5MB,0.9
medical_report_john_doe.docx,/Users/Shared/medical_report_john_doe.docx,docx,22-08-2023 15:45,22-08-2023 15:45,1MB,0.87
confidential_project_plan.pptx,/home/user/Projects/Confidential/confidential_project_plan.pptx,pptx,01-07-2023 08:00,01-07-2023 08:00,3MB,0.93
passwords_backup.txt,C:\Users\user\Desktop\passwords_backup.txt,txt,10-06-2023 20:00,10-06-2023 20:00,10KB,0.98
important_notes.txt,/Users/user/Documents/important_notes.txt,txt,18-08-2023 13:00,18-08-2023 13:00,5KB,0.7
sensitive_data_report.csv,/home/user/Documents/Reports/sensitive_data_report.csv,csv,05-09-2023 17:10,05-09-2023 17:10,2.5MB,0.91
system_log_20230915.log,C:\Windows\System32\LogFiles\system_log_20230915.log,log,15-09-2023 00:00,15-09-2023 00:00,10MB,0.3
application.log,/var/log/application.log,log,14-09-2023 23:59,14-09-2023 23:59,8MB,0.25
debug.log,/tmp/debug.log,log,15-09-2023 01:00,15-09-2023 01:00,5MB,0.15
temp_file_001.tmp,C:\Users\user\AppData\Local\Temp\temp_file_001.tmp,tmp,14-09-2023 12:00,14-09-2023 12:00,1MB,0.05
random_document.txt,/Users/user/Downloads/random_document.txt,txt,13-09-2023 19:00,13-09-2023 19:00,300KB,0.1
spreadsheet_data.xlsx,/home/user/Documents/spreadsheet_data.xlsx,xlsx,12-09-2023 10:00,12-09-2023 10:00,1.8MB,0.2
code_snippet.py,C:\Users\user\Documents\Code\code_snippet.py,py,11-09-2023 14:00,11-09-2023 14:00,50KB,0.35
script.sh,/home/user/scripts/script.sh,sh,10-09-2023 16:30,10-09-2023 16:30,20KB,0.4
config.ini,C:\ProgramData\MyApp\config.ini,ini,09-09-2023 09:00,09-09-2023 09:00,15KB,0.55
settings.json,/etc/app/settings.json,json,08-09-2023 11:00,08-09-2023 11:00,8KB,0.6
database_backup_0907.sql,C:\backups\database_backup_0907.sql,sql,07-09-2023 18:00,07-09-2023 18:00,50MB,0.96
website_backup.zip,/var/backups/website_backup.zip,zip,06-09-2023 22:00,06-09-2023 22:00,100MB,0.89
email_archive.pst,C:\Users\user\Outlook Files\email_archive.pst,pst,05-09-2023 15:00,05-09-2023 15:00,200MB,0.78
browser_history.sqlite,/Users/user/Library/Application Support/Browser/browser_history.sqlite,sqlite,04-09-2023 19:30,04-09-2023 19:30,30MB,0.68
chat_logs.txt,/home/user/.purple/logs/chat_logs.txt,txt,03-09-2023 21:00,03-09-2023 21:00,15MB,0.62
contacts_backup.vcf,C:\Users\user\Contacts\contacts_backup.vcf,vcf,02-09-2023 13:45,02-09-2023 13:45,500KB,0.72
calendar_data.ics,/Users/user/Calendar/calendar_data.ics,ics,01-09-2023 09:30,01-09-2023 09:30,200KB,0.58
notes_app_data.db,/home/user/.config/notesapp/notes_app_data.db,db,31-08-2023 16:15,31-08-2023 16:15,10MB,0.66
project_proposal_draft.docx,C:\Users\user\Documents\Projects\project_proposal_draft.docx,docx,30-08-2023 11:40,30-08-2023 11:40,600KB,0.45
meeting_minutes_0829.txt,/Users/user/Meetings/meeting_minutes_0829.txt,txt,29-08-2023 14:20,29-08-2023 14:20,30KB,0.38
presentation_slides.pptx,/home/user/Presentations/presentation_slides.pptx,pptx,28-08-2023 17:55,28-08-2023 17:55,4MB,0.42
image_gallery_backup.zip,C:\Users\user\Pictures\image_gallery_backup.zip,zip,27-08-2023 10:30,27-08-2023 10:30,150MB,0.33
video_collection.mp4,/Users/user/Videos/video_collection.mp4,mp4,26-08-2023 13:10,26-08-2023 13:10,500MB,0.28
music_library.mp3,/home/user/Music/music_library.mp3,mp3,25-08-2023 19:40,25-08-2023 19:40,800MB,0.22
software_installer.exe,C:\Users\user\Downloads\software_installer.exe,exe,24-08-2023 12:25,24-08-2023 12:25,25MB,0.18
game_setup.dmg,/Users/user/Downloads/game_setup.dmg,dmg,23-08-2023 15:50,23-08-2023 15:50,300MB,0.12
driver_package.zip,/home/user/Downloads/driver_package.zip,zip,22-08-2023 08:15,22-08-2023 08:15,75MB,0.08
readme.txt,C:\Users\user\Documents\ProjectX\readme.txt,txt,21-08-2023 11:30,21-08-2023 11:30,20KB,0.15
license.txt,/Users/user/Documents/SoftwareY/license.txt,txt,20-08-2023 14:45,20-08-2023 14:45,10KB,0.1
changelog.md,/home/user/Code/ProjectZ/changelog.md,md,19-08-2023 16:00,19-08-2023 16:00,15KB,0.2
todo_list.txt,C:\Users\user\Desktop\todo_list.txt,txt,18-08-2023 09:00,18-08-2023 09:00,5KB,0.25
shopping_list.txt,/Users/user/Documents/shopping_list.txt,txt,17-08-2023 12:15,17-08-2023 12:15,3KB,0.18
grocery_list.txt,/home/user/Notes/grocery_list.txt,txt,16-08-2023 15:30,16-08-2023 15:30,2KB,0.12
weekly_report_template.docx,C:\Users\user\Documents\Templates\weekly_report_template.docx,docx,15-08-2023 18:45,15-08-2023 18:45,400KB,0.3
invoice_template.xlsx,/Users/user/Documents/Templates/invoice_template.xlsx,xlsx,14-08-2023 20:00,14-08-2023 20:00,600KB,0.35
